encoder,model,accuracy,macro_f1,n_examples,accuracy_pct,macro_f1_pct
singleplane_v3,BASE-0,0.19444444444444445,0.1545351740368786,216,19.44,15.45
singleplane_v3,RB-2A,0.1527777777777778,0.126580629411643,216,15.28,12.66
singleplane_v3,RB-2R_v3,0.12037037037037036,0.1071304341571744,216,12.04,10.71
multiplane_v4,BASE-0_MP,0.37962962962962965,0.39761028654659963,216,37.96,39.76
multiplane_v4,RB-2A_MP,0.30092592592592593,0.3292194416018072,216,30.09,32.92
multiplane_v4,RB-2R_v3_MP,0.20833333333333334,0.2253939897257609,216,20.83,22.54
