variant,family_accuracy_step3plus,family_macro_f1_step3plus,route_accuracy_step3plus,route_macro_f1_step3plus,n_examples,family_accuracy_step3plus_pct,family_macro_f1_step3plus_pct,route_accuracy_step3plus_pct,route_macro_f1_step3plus_pct,route_delta_vs_baseline_step3plus
BASELINE_UNWEIGHTED,0.7777777777777778,0.3263975155279503,0.5,0.17140629710621855,108,77.78,32.64,50.0,17.14,0.0
ASYM_DROP_MAYBE_FAMILY,0.7777777777777778,0.33777777777777784,0.5,0.16666666666666666,108,77.78,33.78,50.0,16.67,0.0
ASYM_FAMILY_CRIT_ROUTE_KEEP,0.7777777777777778,0.33777777777777784,0.5,0.16666666666666666,108,77.78,33.78,50.0,16.67,0.0
ASYM_SOFT_MAYBE_FAMILY,0.7777777777777778,0.33777777777777784,0.5,0.16666666666666666,108,77.78,33.78,50.0,16.67,0.0
ROUTE_ONLY_LATE_CRIT,0.7777777777777778,0.3263975155279503,0.5092592592592593,0.17333333333333334,108,77.78,32.64,50.93,17.33,0.0093
