variant,family_accuracy,family_macro_f1,route_accuracy,route_macro_f1,n_examples,family_accuracy_pct,family_macro_f1_pct,route_accuracy_pct,route_macro_f1_pct,route_delta_vs_baseline
BASELINE_ALL_DIMS,0.4652777777777778,0.41063484755957225,0.2673611111111111,0.20193805027500678,288,46.53,41.06,26.74,20.19,0.0
GLOBAL_DROP_Z_MAYBE,0.4895833333333333,0.4404170757010359,0.2708333333333333,0.20758388351395635,288,48.96,44.04,27.08,20.76,0.0035
FAMILY_DROP_ONLY,0.4895833333333333,0.4404170757010359,0.28125,0.2237480004225163,288,48.96,44.04,28.12,22.37,0.0139
ROUTE_DROP_ONLY,0.4652777777777778,0.41063484755957225,0.2569444444444444,0.18707804940157882,288,46.53,41.06,25.69,18.71,-0.0104
LATE_ROUTE_DROP_ONLY,0.4652777777777778,0.41063484755957225,0.25,0.18656772781059677,288,46.53,41.06,25.0,18.66,-0.0174
LATE_GLOBAL_DROP_Z_MAYBE,0.4895833333333333,0.4404170757010359,0.2638888888888889,0.20734234006488755,288,48.96,44.04,26.39,20.73,-0.0035
