strategy,accuracy,macro_f1,unknown_overcommit,relative_scoring_cost,accuracy_pct,macro_f1_pct,unknown_overcommit_pct
FULL_FAM,0.6,0.5833362140984646,0.5,1.0,60.0,58.33,50.0
FULL_FAM_CAL_OOD,0.48333333333333334,0.3302872158846716,0.0,1.0,48.33,33.03,0.0
RR2_TOP2_FAM,0.6,0.5833362140984646,0.5,0.7,60.0,58.33,50.0
RR2_TOP2_CAL_OOD,0.48333333333333334,0.3232947232947233,0.0,0.7,48.33,32.33,0.0
