variant,family_accuracy,family_macro_f1,route_accuracy,route_macro_f1,n_examples,family_accuracy_pct,family_macro_f1_pct,route_accuracy_pct,route_macro_f1_pct,route_delta_vs_baseline
BASELINE_UNWEIGHTED,0.4652777777777778,0.41063484755957225,0.2673611111111111,0.20193805027500678,288,46.53,41.06,26.74,20.19,0.0
ASYM_DROP_MAYBE_FAMILY,0.4791666666666667,0.433583997887861,0.28125,0.22240250142858714,288,47.92,43.36,28.12,22.24,0.0139
ASYM_FAMILY_CRIT_ROUTE_KEEP,0.4756944444444444,0.43030756983453006,0.2777777777777778,0.22012243259049594,288,47.57,43.03,27.78,22.01,0.0104
ASYM_SOFT_MAYBE_FAMILY,0.4895833333333333,0.44187561129495895,0.28125,0.2224608642848782,288,48.96,44.19,28.12,22.25,0.0139
ROUTE_ONLY_LATE_CRIT,0.4652777777777778,0.41063484755957225,0.2708333333333333,0.20497307515912166,288,46.53,41.06,27.08,20.5,0.0035
