variant,family_accuracy_step3plus,family_macro_f1_step3plus,route_accuracy_step3plus,route_macro_f1_step3plus,n_examples,family_accuracy_step3plus_pct,family_macro_f1_step3plus_pct,route_accuracy_step3plus_pct,route_macro_f1_step3plus_pct,route_delta_vs_baseline_step3plus
BASELINE_ALL_DIMS,0.7777777777777778,0.3263975155279503,0.5,0.17140629710621855,108,77.78,32.64,50.0,17.14,0.0
GLOBAL_DROP_Z_MAYBE,0.7777777777777778,0.33311688311688314,0.4537037037037037,0.15222944947209655,108,77.78,33.31,45.37,15.22,-0.0463
FAMILY_DROP_ONLY,0.7777777777777778,0.33311688311688314,0.5,0.17293010663002809,108,77.78,33.31,50.0,17.29,0.0
ROUTE_DROP_ONLY,0.7777777777777778,0.3263975155279503,0.4537037037037037,0.14984849709114417,108,77.78,32.64,45.37,14.98,-0.0463
LATE_ROUTE_DROP_ONLY,0.7777777777777778,0.3263975155279503,0.4537037037037037,0.14984849709114417,108,77.78,32.64,45.37,14.98,-0.0463
LATE_GLOBAL_DROP_Z_MAYBE,0.7777777777777778,0.33311688311688314,0.4537037037037037,0.15222944947209655,108,77.78,33.31,45.37,15.22,-0.0463
