variant,family_accuracy_step3plus,family_macro_f1_step3plus,route_accuracy_step3plus,route_macro_f1_step3plus,n_examples,family_accuracy_step3plus_pct,family_macro_f1_step3plus_pct,route_accuracy_step3plus_pct,route_macro_f1_step3plus_pct,route_delta_vs_best_step3plus
BEST_CURRENT_STACK,0.7888888888888889,0.3366081871345029,0.5055555555555555,0.21041890440386682,180,78.89,33.66,50.56,21.04,0.0
K3_ROUTE_SUMMARY_SMALL,0.7888888888888889,0.3366081871345029,0.5055555555555555,0.21041890440386682,180,78.89,33.66,50.56,21.04,0.0
K3_ROUTE_SUMMARY_MED,0.7888888888888889,0.3366081871345029,0.5055555555555555,0.21041890440386682,180,78.89,33.66,50.56,21.04,0.0
K3_ROUTE_SUMMARY_LATE_ONLY,0.7888888888888889,0.3366081871345029,0.5,0.18335331335331334,180,78.89,33.66,50.0,18.34,-0.0056
