artifact_id,file_name,ext,bytes,modified_utc,sha256_12,category,subtype,experiment_family
cil-0150-tq2-offset-k2-k3-2026-03-29w,TQ2_offset_k2_k3_2026-03-29w.csv,.csv,446,2026-03-29T16:36:20.002618+00:00,a2aa3033b80c,result,table_csv,k2_k3
cil-0151-tq2-offset-k2-k3-confusions-2026,TQ2_offset_k2_k3_confusions_2026-03-29w.json,.json,2479,2026-03-29T16:36:19.995146+00:00,91148434b32f,result,json,k2_k3
cil-0152-tq2-offset-k2-k3-report-2026-03-,TQ2_offset_k2_k3_report_2026-03-29w.md,.md,1518,2026-03-29T16:36:19.957449+00:00,0ef2987bc710,experiment,report,k2_k3
cil-0153-tq2-ood-recurrence-refresh-note-,TQ2_ood_recurrence_refresh_note_2026-03-29m.md,.md,414,2026-03-29T16:36:21.929165+00:00,dcf2252c1682,document,markdown,text_path
cil-0154-tq2-ood-recurrence-refresh-probe,TQ2_ood_recurrence_refresh_probe_2026-03-29m.csv,.csv,468,2026-03-29T16:36:21.883960+00:00,2aea37468de7,result,table_csv,text_path
cil-0155-tq2-ood-recurrence-refresh-probe,TQ2_ood_recurrence_refresh_probe_2026-03-29m.md,.md,1775,2026-03-29T16:36:21.868262+00:00,137888aad3f7,document,markdown,text_path
cil-0156-tq2-ood-recurrence-refresh-probe,TQ2_ood_recurrence_refresh_probe_confusions_2026-03-29m.json,.json,5585,2026-03-29T16:36:21.908373+00:00,f38b2de8620c,result,json,text_path
cil-0157-tq2-recurrent-refresh-reuse-prob,TQ2_recurrent_refresh_reuse_probe_2026-03-29l.csv,.csv,347,2026-03-29T16:36:22.010242+00:00,820f29b089ca,result,table_csv,misc
cil-0158-tq2-recurrent-refresh-reuse-prob,TQ2_recurrent_refresh_reuse_probe_2026-03-29l.md,.md,1307,2026-03-29T16:36:22.009722+00:00,2c39cd94288a,document,markdown,misc
cil-0159-tq2-recurrent-refresh-reuse-prob,TQ2_recurrent_refresh_reuse_probe_confusions_2026-03-29l.json,.json,7082,2026-03-29T16:36:21.989665+00:00,7c7181f8448b,result,json,misc
cil-0160-tq2-recursive-validation-matrix-,TQ2_recursive_validation_matrix_2026-03-29al.csv,.csv,386,2026-03-29T16:38:18.821455+00:00,1a1ea212e862,result,table_csv,misc
cil-0161-tq2-recursive-validation-pass-re,TQ2_recursive_validation_pass_report_2026-03-29al.md,.md,2379,2026-03-29T16:38:18.838796+00:00,7f9715ed91fd,experiment,report,misc
cil-0162-tq2-recursive-validation-phase-2,TQ2_recursive_validation_phase_2026-03-29al.csv,.csv,208,2026-03-29T16:36:16.923809+00:00,2a79247a2137,result,table_csv,misc
cil-0163-tq2-route-aware-dual-head-2026-0,TQ2_route_aware_dual_head_2026-03-29ae.csv,.csv,350,2026-03-29T16:36:18.985176+00:00,e3a1b33d9563,result,table_csv,route_readout
cil-0164-tq2-route-aware-dual-head-report,TQ2_route_aware_dual_head_report_2026-03-29ae.md,.md,1037,2026-03-29T16:36:18.855203+00:00,a94bffd98ae3,experiment,report,route_readout
cil-0165-tq2-stepwise-multi-path-phase-su,TQ2_stepwise_multi_path_phase_summary_2026-03-29ah.csv,.csv,211,2026-03-29T16:38:18.887741+00:00,bc77ffe9622b,result,table_csv,route_readout
cil-0166-tq2-stepwise-multi-path-separabi,TQ2_stepwise_multi_path_separability_2026-03-29ah.csv,.csv,2317,2026-03-29T16:36:17.741717+00:00,6c86c4ebcf53,result,table_csv,route_readout
cil-0167-tq2-stepwise-multi-path-separabi,TQ2_stepwise_multi_path_separability_report_2026-03-29ah.md,.md,6245,2026-03-29T16:38:18.812428+00:00,061df69708e8,experiment,report,route_readout
cil-0168-tq2-structurally-distinct-route-,TQ2_structurally_distinct_route_readout_2026-03-29ag.csv,.csv,325,2026-03-29T16:36:18.319258+00:00,2ea6d5b25116,result,table_csv,route_readout
