encoder,model,accuracy,macro_f1,n_examples,accuracy_pct,macro_f1_pct
multiplane_v4,BASE-0_MP,0.37962962962962965,0.39761028654659963,216,37.96,39.76
multiplane_v4,RB-2R_v3_MP,0.20833333333333334,0.2253939897257609,216,20.83,22.54
recurrent_v5,BASE-0_REC,0.37962962962962965,0.41031780125425243,216,37.96,41.03
recurrent_v5,RB-2R_v5_REC,0.30092592592592593,0.315963533465662,216,30.09,31.6
