model,accuracy,macro_f1,n_examples,accuracy_pct,macro_f1_pct
BASE-0,0.4666666666666667,0.4581164021164021,45,46.67,45.81
RB-2A,0.5111111111111111,0.48058608058608054,45,51.11,48.06
RB-2B,0.3111111111111111,0.29393939393939394,45,31.11,29.39
RB-2R_v2,0.4666666666666667,0.4246753246753247,45,46.67,42.47
RB-2R_v3,0.4666666666666667,0.4246753246753247,45,46.67,42.47
RB-2R_v4_OOD,0.5111111111111111,0.466890756302521,45,51.11,46.69
