model,accuracy,macro_f1,n_examples,accuracy_pct,macro_f1_pct
BASE-0,0.12962962962962962,0.07989132438961875,216,12.96,7.99
RB-2A,0.125,0.06306285027915505,216,12.5,6.31
RB-2B,0.08333333333333333,0.045647768543281154,216,8.33,4.56
RB-2R_v3,0.1111111111111111,0.057446427371862334,216,11.11,5.74
