metric,accuracy,macro_f1,n_examples,accuracy_pct,macro_f1_pct
FAMILY_ONLY_FAMILY,0.5208333333333334,0.5228729643706931,288,52.08,52.29
FAMILY_ONLY_ROUTE,0.4131944444444444,0.40263242795851495,288,41.32,40.26
DUAL_HEAD_FAMILY,0.5208333333333334,0.5228729643706931,288,52.08,52.29
DUAL_HEAD_ROUTE,0.4131944444444444,0.40263242795851495,288,41.32,40.26
